Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
United States,USA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.5,6.7,5.5,5.7,5.2,4.5,3.8,3.8,3.6,3.5,4.9,5.9,5.6,4.9,5.6,8.5,7.7,7.1,6.1,5.8,7.1,7.6,9.7,9.6,7.5,7.2,7,6.2,5.5,5.3,5.6,6.8,7.5,6.9,6.119,5.65,5.451,5,4.511,4.219,3.992,4.731,5.783,5.989,5.529,5.084,4.623,4.622,5.784,9.254,9.633,8.949,8.069,7.375,6.168,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638,4.022
United States,USA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,5.19517787614495,5.35193372537237,5.80215931389794,6.39543530970074,8.24886441808829,7.28409452407971,8.067953018343,8.76360464323147,9.02577352686406,9.61712885271871,10.2833892192894,9.90813650339986,9.06707929238358,9.04332866084504,10.0333290981577,9.61583358665714,9.88872247567544,10.4776616483513,10.5795771858657,10.4763204634163,10.5603352862181,10.1255430017786,10.2416795967442,10.4974383102923,11.162311746182,11.8141577687958,11.9404364259576,12.3085665651286,12.3106298188105,13.0042291459932,14.4102184542572,13.2637338366067,13.1549925956457,13.5916543236323,14.8193121829029,15.65649830011,16.3338916290247,16.5482275199969,17.4419484298585,13.8273105496213,15.8785344260197,17.2790190876841,17.0377859689502,16.4242927670279,16.4520404415866,15.351745665684,14.6499800035794,15.0512827697199,15.2493900563462,14.5768882704583,13.1874574667002,14.6491408906374,15.529535106212,14.1059171480679,14.2711775613413
United States,USA,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,..,..,..,..,..,..,..,..,..,..,0.604675473747861,0.482465553504743,0.573054702097552,0.655265698313989,0.333928061799989,0.81488322183341,0.604245088640406,0.541832026307674,0.611073571642104,0.940878069129418,0.666361717519328,0.315243864983329,0.232490746276156,0.241329342180792,0.317514333344974,0.0848125791804939,0.426322557428754,0.819675338785203,0.414422934063193,0.903647559726176,1.00517445159802,0.800080673854023,0.901335163098415,1.20725067758402,1.23489893836291,1.44062324560663,1.2760862526294,1.41508865502968,1.92831849988377,2.56962429953542,1.81807575313563,1.38009798892094,1.63769009193116,1.70400198684163,3.06129234381941,0.403329983855397,2.05420877931708,3.61946792349253,2.32624445049071,2.15910759776953,2.32459848849916,2.79886929155041,2.32090958851109,2.33207591223804,2.20805687391019,1.65918189535913,1.60370806321427,2.10199684628348,-0.636631934610167,0.537519893200158,1.34057289113254,1.46750940499431,1.51864594633252,1.28639455857168,1.12054360395912
United States,USA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,71.0463222444596,75.2617833341423,75.7337438750664,80.4886625325679,83.3438843821895,86.3454415759185,83.7082223493599,87.2288854279506,88.0631534754449,86.9694356545567,87.6766843401341,91.1170788479504,95.7913033840131,94.8388699689857,92.2866785612489,90.4747067249167,89.8846858637993,90.1764515225629,91.6312437392906,92.9455322882958,94.3548659876566,89.2380076705677,92.610926323638,96.109272798397,96.7960678673929,103.684613019629,110.161710524439,112.619055040487,113.690862126055,117.539952502031,114.791425711226,119.177672922602,118.243163763414,120.994532191545,120.183035270976,130.168599500427,137.665711099743,146.57982022752,157.804636024479,171.614220320616,162.62030549023,170.849422214528,162.404270843241,177.400242504992,184.805546423271,188.633042097764,198.283846111171,206.351352932702,185.125644506216,187.479989975829,181.920745780206,174.474602487695,175.443819509046,184.572858143723,185.399004308009,184.529830375552,187.421407342664,195.43392979223,184.15464675742,196.183464613648,221.379712487617,223.775006515283,190.529017844309,195.550387986558,200.882937069937
United States,USA,Population growth (annual %),SP.POP.GROW,..,1.65773003738953,1.53799735825387,1.43916476170683,1.38904605518369,1.25017164562845,1.1548931907552,1.08888120728762,0.998461043585335,0.977242811872469,1.16500266687286,1.26433369185094,1.07052275237269,0.954476728552297,0.913660196067714,0.985986067347125,0.950220048994522,1.00577199618134,1.0595730803427,1.10357656509899,0.959589922764484,0.981415437259678,0.953317566163514,0.914378513375149,0.865817336309961,0.886129040850881,0.924164157058979,0.893829201032046,0.907999040167679,0.944405555428529,1.12965052045579,1.33626074073779,1.38688569247935,1.31867999977741,1.2262960888682,1.19078709090209,1.16341161998189,1.20396029701272,1.16571452642589,1.14834004729055,1.11276899679534,0.989741382223669,0.927797485710314,0.859481712840946,0.925483968943482,0.921713167161207,0.964253917136075,0.951055242772428,0.945865287282592,0.876651298802912,0.846129865832117,0.79239433316435,0.79838290137163,0.756560083436754,0.796023797809134,0.797904713382564,0.785625485688815,0.692906252591617,0.586433075122573,0.515108555014533,0.408427566758519,0.157317408951545,0.575744520494521,0.83149318773707,0.976421684505429
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.45797598627791,1.07072414764724,1.19877334820186,1.23966942148753,1.27891156462591,1.58516926383662,3.0150753768844,2.77278562259309,4.27179615288537,5.46238620028745,5.83825533848251,4.29276668813051,3.27227824655283,6.17776006377038,11.0548048048048,9.14314686496535,5.74481263549085,6.5016839947284,7.63096383885606,11.2544711292795,13.5492019749684,10.3347153402771,6.13142700027493,3.21243523316065,4.30053547523429,3.54564415209365,1.89804772234276,3.6645632175169,4.07774110744413,4.82700303008944,5.39795643990325,4.23496396453849,3.02881967814969,2.95165696638559,2.60744159215453,2.80541968853662,2.93120419993441,2.33768993730735,1.55227909874364,2.18802719697358,3.37685727149929,2.82617111885407,1.58603162650601,2.27009497336115,2.67723669309172,3.3927468454955,3.22594410070404,2.85267248150138,3.839100296651,-0.355546266299747,1.6400434423899,3.156841568622,2.06933726526067,1.46483265562717,1.62222297740817,0.118627135552451,1.26158320570536,2.13011000365961,2.44258329692817,1.81221007526021,1.23358439630629,4.69785886363742,8.00279982052121,4.11633838374488,2.94952520485207
United States,USA,Real interest rate (%),FR.INR.RINR,..,3.10788487484445,3.215345975872,3.37488224240501,2.95166899970868,2.56591312626046,2.64942062883444,2.40622703183627,1.86391124668411,2.85177336421904,2.51491820767599,0.621992022659649,0.883965225131784,2.4096938447822,1.65106596056711,-1.28158053903036,1.26679040234448,0.575101000374774,1.88980821589415,4.03438927792717,5.71636286472598,8.5946006933796,8.17720821048295,6.61803546660784,8.14090660797679,6.56324383385124,6.1938695909416,5.58752028752393,5.59030222565257,6.69026467457874,6.03974984988313,4.91529596812901,3.88429488654255,3.54563216911484,4.89854133884219,6.59421796734386,6.32428599296519,6.60331688123844,7.14996175417604,6.48725394907382,6.81386177218246,4.56709046371912,3.07320805338916,2.10671171585721,1.60763317917852,2.96083428030713,4.72785135317774,5.19990178361212,3.10106296496386,2.61706389356322,2.01031249832462,1.16287972647355,1.362424650544,1.7482101512619,1.58866664005878,2.4751634842667,2.63773113762977,2.37161907294657,2.46243186978415,3.71968036171318,2.84614797883626,-1.08716753956254,..,..,..
United States,USA,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,..,..,..,..,..,..,..,..,..,..,17.9618430210295,17.9387904021977,17.6292891150878,16.7762751723054,17.1626727964469,17.6107956298994,16.7879782984202,16.3879690233478,15.7667187305319,15.4036431620963,15.876837875664,15.8102437729982,16.5838514332094,16.3837857501765,15.7203773615748,15.9171086101131,16.1145952588757,16.0012069496407,15.6681698513379,15.6237968795976,15.9007731491978,16.3175698333049,16.0786874646011,15.6452689260237,15.2060534337024,14.9447710913016,14.5283200229106,14.2293238255567,13.9868964790694,14.0317985261662,14.0239517400802,14.5356379493206,15.0590355024837,15.2436331781727,15.158309850606,15.047143394,15.0044511883738,15.1892879283282,15.9340733958399,16.8076950275681,16.6858457892174,16.098427999507,15.4758416244692,15.0253298264668,14.5992974323344,14.3028948337723,14.1928765356073,13.9429433442707,13.9274534549159,14.1009184202812,15.0912418134706,14.4381701420122,13.9429723365358,..,..
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,2.29999999999977,6.10000000000011,4.39999999999982,5.8000000000003,6.39999999999981,6.50000000000021,2.49999999999999,4.7999999999997,3.09999999999999,0.216606498194878,3.29272245005524,5.25550195781351,5.64567976314829,-0.540550192633191,-0.205619191121627,5.38803391770217,4.62418650601657,5.53520648243719,3.16598821816159,-0.256775731395592,2.53770126828974,-1.80301378934359,4.58379098362749,7.23645316474058,4.16957534699196,3.46265505694664,3.45462966856461,4.1769823865164,3.67223784383981,1.88596558187626,-0.108312882368935,3.52249717301392,2.75179586709815,4.02902272983438,2.6844307317787,3.77277269119453,4.44712793566428,4.48313335374613,4.78842504725272,4.07758575682804,0.955538348341605,1.70044732643726,2.79560596320081,3.84777169556921,3.48354993555606,2.78453963650701,2.00385829784946,0.113587249881704,-2.57650022958367,2.69519257744442,1.56440685763506,2.28911338669843,2.11783009790057,2.52381981363968,2.94555045484053,1.81945147788167,2.45762229852507,2.96650506901305,2.58382533412825,-2.16302914036166,6.05505293244555,2.51237531986017,2.88755600749487,2.79300127716779
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/19/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
